import time: self [us] | cumulative | imported package
import time:        59 |         59 |                             _sysconfig
import time:      2177 |       3744 |                           zoneinfo._tzpath
import time:       798 |        798 |                           zoneinfo._common
import time:       699 |        699 |                           _zoneinfo
import time:      1573 |       6812 |                         zoneinfo
import time:      1112 |       7924 |                       django.utils.timezone
import time:      1059 |      18301 |                     django.utils.dateformat
import time:       652 |        652 |                       django.utils.safestring
import time:       877 |       1529 |                     django.utils.numberformat
import time:       961 |      21438 |                   django.utils.formats
import time:      1517 |       1517 |                       html.entities
import time:      1229 |       2745 |                     html
import time:        73 |         73 |                           _json
import time:       853 |        925 |                         json.scanner
import time:      1427 |       2351 |                       json.decoder
import time:       997 |        997 |                       json.encoder
import time:      1051 |       4398 |                     json
import time:      1228 |       1228 |                       _markupbase
import time:      3044 |       4271 |                     html.parser
import time:      1068 |       1068 |                       django.utils.datastructures
import time:      1083 |       2151 |                     django.utils.http
import time:      1140 |       1140 |                       gzip
import time:      1095 |       2235 |                     django.utils.text
import time:      1038 |      16836 |                   django.utils.html
import time:       923 |        923 |                   django.template.exceptions
import time:      2254 |      43005 |                 django.template.base
import time:       895 |        895 |                 django.template.library
import time:      1069 |      44969 |               django.template.engine
import time:       655 |        655 |               django.template.utils
import time:       815 |        815 |                   django.template.backends
import time:       532 |        532 |                     django.utils._os
import time:       602 |       1134 |                   django.template.backends.base
import time:      1160 |       3108 |                 django.template.backends.django
import time:       547 |       3655 |               django.template.autoreload
import time:       550 |      49827 |             django.template
import time:        14 |      49841 |           django.template.backends
import time:        24 |      49865 |         django.template.backends.django
import time:       590 |      50454 |       django.core.checks.templates
import time:      1063 |       1063 |           django.conf.locale
import time:      1277 |       2340 |         django.utils.translation.trans_real
import time:       667 |       3006 |       django.core.checks.translation
import time:       738 |        738 |       django.core.checks.urls
import time:      1085 |     102965 |     django.core.checks
import time:       554 |        554 |       django.utils.termcolors
import time:       295 |        295 |       colorama
import time:       865 |       1714 |     django.core.management.color
import time:      1157 |     105835 |   django.core.management.base
import time:      1340 |     285290 | django.core.management
import time:       934 |        934 |   pymysql.constants
import time:       860 |        860 |   pymysql.constants.FIELD_TYPE
import time:       858 |        858 |     pymysql.constants.ER
import time:       843 |       1700 |   pymysql.err
import time:       830 |        830 |   pymysql.times
import time:       272 |        272 |           cryptography
import time:        27 |        298 |         cryptography.hazmat
import time:        23 |        321 |       cryptography.hazmat.backends
import time:       595 |        916 |     pymysql._auth
import time:       813 |        813 |     pymysql.charset
import time:       715 |        715 |     pymysql.constants.CLIENT
import time:       923 |        923 |     pymysql.constants.COMMAND
import time:       901 |        901 |     pymysql.constants.CR
import time:      1378 |       1378 |     pymysql.constants.SERVER_STATUS
import time:      1122 |       1122 |     pymysql.converters
import time:      1168 |       1168 |     pymysql.cursors
import time:      2390 |       2390 |       configparser
import time:       961 |       3351 |     pymysql.optionfile
import time:       943 |        943 |     pymysql.protocol
import time:       810 |        810 |       termios
import time:      1016 |       1826 |     getpass
import time:      1521 |      15573 |   pymysql.connections
import time:      1032 |      20926 | pymysql
import time:      2234 |       2234 |           http
import time:      2258 |       2258 |           http.cookies
import time:       809 |       5300 |         django.http.cookie
import time:       684 |        684 |           django.core.signing
import time:       596 |        596 |               django.core.files.temp
import time:      1333 |       1929 |             django.core.files.uploadedfile
import time:      1024 |       2952 |           django.core.files.uploadhandler
import time:       893 |        893 |           django.http.multipartparser
import time:      1068 |       5596 |         django.http.request
import time:      1473 |       1473 |           mimetypes
import time:      1410 |       1410 |             email.quoprimime
import time:       849 |        849 |             email.base64mime
import time:      1294 |       1294 |             email.errors
import time:      1024 |       1024 |                 quopri
import time:       691 |       1714 |               email.encoders
import time:       995 |       2709 |             email.charset
import time:      1706 |       7965 |           email.header
import time:       883 |        883 |                 email._policybase
import time:      1376 |       2259 |               email.feedparser
import time:      1215 |       3474 |             email.parser
import time:      1345 |       1345 |               email._encoded_words
import time:      1333 |       1333 |               email.iterators
import time:      1757 |       4435 |             email.message
import time:      1677 |       9585 |           http.client
import time:       888 |        888 |                     django.db.models.utils
import time:      4914 |       5802 |                   django.db.models.signals
import time:       854 |        854 |                         _uuid
import time:      1252 |       2105 |                       uuid
import time:       640 |        640 |                                 django.template.loader
import time:       926 |       1566 |                               django.forms.renderers
import time:      1307 |       2872 |                             django.forms.utils
import time:       898 |        898 |                                 django.templatetags
import time:       714 |       1612 |                               django.templatetags.static
import time:       567 |        567 |                               django.utils.topological_sort
import time:      1735 |       3913 |                             django.forms.widgets
import time:       985 |       7769 |                           django.forms.boundfield
import time:       567 |        567 |                               django.utils.deconstruct
import time:       609 |        609 |                               django.utils.ipv6
import time:      1682 |       2857 |                             django.core.validators
import time:      1010 |       1010 |                             django.utils.dateparse
import time:       942 |        942 |                             django.utils.duration
import time:      2503 |       7310 |                           django.forms.fields
import time:      1024 |       1024 |                           django.forms.forms
import time:      1458 |       1458 |                           django.forms.formsets
import time:      1563 |       1563 |                           django.forms.models
import time:       920 |      20042 |                         django.forms
import time:      1125 |       1125 |                         django.db.models.constants
import time:       694 |        694 |                           django.utils.tree
import time:      1307 |       2001 |                         django.db.models.query_utils
import time:      2437 |      25603 |                       django.db.models.fields
import time:      2214 |      29922 |                     django.db.models.expressions
import time:      2121 |       2121 |                             django.db.models.lookups
import time:      1252 |       1252 |                             django.db.models.fields.mixins
import time:      2587 |       5959 |                           django.db.models.fields.json
import time:       967 |       6925 |                         django.db.models.functions.comparison
import time:      1244 |       1244 |                         django.db.models.functions.datetime
import time:       591 |        591 |                           django.db.models.functions.mixins
import time:      1292 |       1883 |                         django.db.models.functions.math
import time:      1812 |       1812 |                         django.db.models.functions.text
import time:      1554 |       1554 |                         django.db.models.functions.window
import time:       928 |      14343 |                       django.db.models.functions
import time:        39 |      14382 |                     django.db.models.functions.comparison
import time:      1212 |      45515 |                   django.db.models.aggregates
import time:       653 |        653 |                         django.db.backends
import time:       927 |       1579 |                       django.db.backends.utils
import time:      1253 |       1253 |                           django.db.models.fields.related_lookups
import time:       737 |        737 |                           django.db.models.sql.constants
import time:       932 |        932 |                           django.db.models.sql.datastructures
import time:      1104 |       1104 |                           django.db.models.sql.where
import time:      2058 |       6083 |                         django.db.models.sql.query
import time:       932 |        932 |                         django.db.models.sql.subqueries
import time:      1007 |       8021 |                       django.db.models.sql
import time:       668 |      10267 |                     django.db.models.indexes
import time:      1402 |      11668 |                   django.db.models.constraints
import time:       927 |        927 |                     django.db.transaction
import time:      1456 |       2383 |                   django.db.models.deletion
import time:      1497 |       1497 |                   django.db.models.enums
import time:       719 |        719 |                     django.core.files.images
import time:       789 |        789 |                       django.core.files.storage.base
import time:       845 |        845 |                         django.core.files.storage.mixins
import time:      1015 |       1860 |                       django.core.files.storage.filesystem
import time:       929 |        929 |                       django.core.files.storage.handler
